investigation_line_id,name,description
22,Teoria y critica,"Como aporte de la academia y de la investigacion a la generacion de nuevo conocimiento a traves de lecturas criticas del diseno, de planteamientos metodologicos coherentes con lo local y con las circunstancias propias del entorno, asi como del propio hacer del diseno. En otras palabras, una revision ontologica del diseno y de su impacto en las practicas humanas, tanto culturales como productivas y que definen el mundo objetual."
22,Creacion e interaccion,"Como aporte al desarrollo tecnologico regional a traves del estudio de aspectos sensibles tanto desde lo morfologico, es decir, la busqueda de nuevas propuestas de diseno; como del estudio de los factores humanos como el conjunto de interacciones entre los usuarios y los objetos; y a traves del estudio de lo tecnico, desde los materiales hasta los procesos productivos. Todo lo anterior desde la disposicion de recursos y el alcance local."
22,Territorio y cultura local,Como aporte a soluciones a problematicas puntuales de la region a traves de proyectos que consideren las identidades locales y la cultura material como factor catalizador para el planteamiento de escenarios y practicas acordes con las manifestaciones y expresiones locales. Considerando desde elementos intangibles como la identidad hasta elementos tangibles como la cultura material y los productos que la componen.
22,Innovacion socioecologica,"Como aporte al planteamiento de espacios de caracter colectivo, comunal o social a traves del fomento de practicas humanas sustentables en relacion con la produccion y el consumo orientados hacia la sustentabilidad y la vision de mundos otros en sistemas de valores sociales, ecologicos, economicos y politicos, a traves de procesos de innovacion consciente."
25,Derecho Constitucional,"En esta linea se abordan estudios orientados a comprender las normas constitucionales e instituciones juridicas fundamentales relacionadas con el ejercicio del poder politico y los derechos y libertades. Entre las tematicas que cobija, se encuentran: Democracia, derechos fundamentales, la constitucion, justicia transicional, derechos humanos, sociologia juridica, interpretacion y argumentacion juridica."
25,Derecho probatorio,"La importancia del derecho probatorio en el grupo de iestigacion, parte desde su nombre, pues se considera a Bentham como el padre del Derecho probatorio, ademas del componente difereniador del derecho probatorio, el cual se dibuja y presenta en todos los procesos (judiciales o extrajudiciales), y en todas las ramas del derecho. De igual manera, es relevante el estudio de la valoracion de la prueba confire a la sana critica, haciendo que los sistemas probatorios sean deliberadamente abiertos para la investigacion dado que no solo enriquevcen en todo el contenido del derecho, sino tambien, con los avances epistemologicos y tecnologicos provenientes de disciplinas no puramente juridicas."
26,"Aprendizaje, motivacion, mediacion e inteligencia artificial","Area de estudio del aprendizaje y su relacion con la metacognicion, la motivacion, la mediacion tecnologica y la inteligencia artificial como mecanismos de desarrollo cognitivo y de formacion academica y profesional."
27,Tecnologica e innovacion para la E-ducacion,"Se centra en la integracion efectiva de la tecnologia y la innovacion en la educacion para mejorar los procesos de aprendizaje y la experiencia educativa en todos los niveles educativos. Busca analizar como las ultimas tendencias tecnologicas pueden transformar y enriquecer los entornos de aprendizaje, asi como el impacto de las estrategias de marketing educativo en la promocion y adopcion exitosa de estas innovaciones."
28,Educacion mediatica en el ambito academico,"Orientada al desarrollo de habilidades para identificar, organizar, entender, evaluar y analizar informacion haciendo uso de la tecnologia digital. Comprender y aplicar la tecnologia permite que la educacion mejore mediante la creacion de contenidos digitales mas productivos y eficientes, de tal forma que el pensamiento y la alfabetizacion tecnologica pueda incidir en la mejora de la formacion, la empleabilidad, el desarrollo personal y social."
29,Contabilidad de Gestion y Organizaciones,"Esta area se enfoca en analizar los factores que impulsan la innovacion empresarial a traves de los procesos de gestion contable y organizacional, con el objetivo de influir en el crecimiento sostenible de las organizaciones en diversos sectores economicos y facilitar la innovacion."
29,"Riesgo, Control y Aseguramiento","Enfocada en la gestion y analisis de riesgos empresariales, desarrollando estrategias de control interno efectivas y promoviendo la transparencia en la toma de decisiones. Su objetivo es salvar los intereses de la organizacion y asegurar su exito y sostenibilidad en el mercado."
29,Finanzas Corporativas,"Area que tiene como objetivo mejorar la eficiencia y rentabilidad de las empresas mediante una gestion optima de sus recursos financieros, proporcionando informacion valiosa para la toma de decisiones estrategicas en el ambito financiero, lo cual es fundamental para el exito y crecimiento sostenible de las organizaciones."
29,Contabilidad y Desarrollo Sostenible,"Encaminada a la comprension del papel que la contabilidad desempena como herramienta para medir, informar y gestionar el desempeno sostenible de las empresas. Su objetivo es fomentar practicas contables que impulsen el crecimiento economico, social y ambiental de las organizaciones y la sociedad en general, siendo esencial en el impulso de una gestion empresarial responsable y sostenible, en linea con los Objetivos de Desarrollo Sostenible de la Agenda 2030 de las Naciones Unidas."
